4/15:00	home1	company1	company1	home1	home2	home3	
4/16:00	home1	company1	company1	home1	home2	home3	
4/17:00	home1	home2	home3	home1	home2	home3	
4/18:00	home1	home2	home3	home1	home2	home3	
4/19:00	home1	home2	home3	home1	home2	home3	
4/20:00	home1	home2	home3	home1	home2	home3	
4/21:00	home1	home2	home3	home1	home2	home3	
4/22:00	home1	home2	home3	home1	home2	home3	
4/23:00	home1	home2	home3	home1	home2	home3	
5/00:00	home1	home2	home3	home1	home2	home3	
5/01:00	home1	home2	home3	home1	home2	home3	
5/02:00	home1	home2	home3	home1	home2	home3	
5/03:00	home1	home2	home3	home1	home2	home3	
5/04:00	home1	home2	home3	home1	home2	home3	
5/05:00	home1	home2	home3	home1	home2	home3	
5/06:00	home1	home2	home3	home1	home2	home3	
5/07:00	home1	home2	home3	home1	home2	home3	
5/08:00	home1	home2	home3	school1	home2	home3	
5/09:00	home1	home2	home3	school1	home2	home3	
5/10:00	home1	hospital1	hospital1	school1	hospital1	hospital1	
5/11:00	company1	hospital1	hospital1	school1	hospital1	hospital1	
5/12:00	company1	home2	home3	school1	hospital1	hospital1	
5/13:00	company1	home2	home3	school1	home2	home3	
5/14:00	company1	home2	home3	school1	home2	home3	
5/15:00	company1	home2	home3	home1	home2	home3	
5/16:00	company1	home2	home3	home1	home2	home3	
5/17:00	company1	home2	home3	home1	home2	home3	
5/18:00	company1	home2	home3	home1	home2	home3	
5/19:00	home1	home2	home3	home1	home2	home3	
5/20:00	home1	home2	home3	home1	home2	home3	
5/21:00	home1	home2	home3	home1	home2	home3	
5/22:00	home1	home2	home3	home1	home2	home3	
5/23:00	home1	home2	home3	home1	home2	home3	
6/00:00	home1	home2	home3	home1	home2	home3	
6/01:00	home1	home2	home3	home1	home2	home3	
6/02:00	home1	home2	home3	home1	home2	home3	
6/03:00	home1	home2	home3	home1	home2	home3	
6/04:00	home1	home2	home3	home1	home2	home3	
6/05:00	home1	home2	home3	home1	home2	home3	
6/06:00	home1	home2	home3	home1	home2	home3	
6/07:00	home1	home2	home3	home1	home2	home3	
6/08:00	home1	home2	home3	school1	school1	school1	
6/09:00	home1	home2	home3	school1	school1	school1	
6/10:00	company1	home2	home3	school1	school1	school1	
6/11:00	company1	company1	company1	school1	school1	school1	
6/12:00	company1	company1	company1	school1	school1	school1	
6/13:00	company1	company1	company1	school1	school1	school1	
6/14:00	company1	company1	company1	school1	school1	school1	
6/15:00	company1	company1	company1	home1	home2	home3	
6/16:00	company1	company1	company1	home1	home2	home3	
6/17:00	company1	company1	company1	home1	home2	home3	
6/18:00	home1	company1	company1	home1	home2	home3	
6/19:00	home1	home2	home3	home1	home2	home3	
6/20:00	home1	home2	home3	home1	home2	home3	
6/21:00	home1	home2	home3	home1	home2	home3	
6/22:00	home1	home2	home3	home1	home2	home3	
6/23:00	home1	home2	home3	home1	home2	home3	
